卷章名,領域,標題,勉勵,經文
01創世記第01章,信仰,天父創造你，說你是甚好的,你是否曾懷疑自己的生命有沒有意義？創世記第一章告訴我們一個最深刻的真理：神照著自己的形像造人。你不是偶然存在的，而是被神親手塑造的，帶著祂的印記。在所有受造物中，唯有人有神聖的尊嚴。更美麗的是，神每次看見祂的創造，說的都是「甚好」——包括看見你。天父對你的評價不是你的成就或外貌，而是你本身。今天，讓這個真理成為你站立的根基。,神說：我們要照著我們的形像、按著我們的樣式造人。《創世記1:26》
01創世記第02章,家庭,天父為你設計了安息與相伴的需要,你是否在忙碌中，忘了停下來的重要？神在創造完成後親自歇息，為第七日賜福，定為聖日。那不是因為神疲倦，而是為人設立安息的典範——停下來，與神親近，享受祂的同在。更美的是，神說「那人獨居不好」，親手為人預備了伴侶。天父深知你需要休息，也需要彼此。今天，讓你的心先回到安靜，你不是一個人，祂早就看見了你的需要。,因此，人要離開父母，與妻子連合，二人成為一體。《創世記2:24》
01創世記第03章,信仰,天父在你跌倒後仍為你預備了出路,你是否在某個軟弱的時刻，選擇了錯的路，之後感到難以回頭？人類的第一次跌倒就是如此——信任動搖、誘惑臨到，選擇了偏離。但在宣告後果的同時，神悄悄放入了應許：「女人的後裔要傷你的頭」——那是最早的救贖預言，是神在審判中的恩典。天父從未因人的失敗而放棄計畫，反而早在失敗發生前，就預備了恢復的路。你的跌倒，不是故事的終點。,我又要叫你和女人彼此為仇；你的後裔和女人的後裔也彼此為仇。女人的後裔要傷你的頭。《創世記3:15》
01創世記第04章,品格,天父看的是你獻上時的內心,你是否曾勉強地完成信仰上的義務，卻缺少真實的投入？亞伯帶著頭生的、最好的羊來獻，那是他真正在乎的東西；該隱只是拿了地裡的出產，沒有留意是否獻出了最好的。神看中的不是祭物的種類，而是獻祭者的心。當你為神或他人做任何事，天父看的不只是行為，更是那個行為背後的動機。你今天獻上的，是你真正在乎的嗎？,亞伯也將他羊群中頭生的和羊的脂油獻上。耶和華看中了亞伯和他的供物。《創世記4:4》
01創世記第05章,敬拜,天父看顧那些在平凡日子中仍願意與祂同行的你,你是否覺得自己的信仰生活太平凡，沒有什麼大的見證？本章記錄了許多名字，每一個都以「就死了」結尾，唯有以諾例外——「以諾與神同行，神將他取去，他就不在世了」。以諾沒有傳奇的事蹟，只有一個描述：與神同行。這是最低調、也最有分量的屬靈見證。天父不要求你有驚天動地的成就，只要你今天仍在與祂同行，每一步都被祂看見。,以諾與神同行，神將他取去，他就不在世了。《創世記5:24》
01創世記第06章,信仰,天父在敗壞的世代仍尋找那個願意說「好」的你,當周遭的人都在離神而行時，你是否感到孤單，甚至懷疑自己的堅持是否值得？挪亞那個時代，「終日所思想的盡都是惡」，然而就在這樣的黑暗中，聖經記載：「挪亞是個義人，挪亞與神同行。」他沒有跟隨大流，更重要的是：「凡神所吩咐的，他都照樣行了。」天父從來不缺少工人，祂一直在尋找那個願意說「好，我照著行」的人。你願意嗎？,挪亞是個義人，在當時的世代是個完全人。挪亞與神同行。《創世記6:9》
01創世記第07章,禱告,天父親自為你關上保護的門,你是否有時感到無助，覺得自己的安全感無從掌握？當洪水將至，挪亞一家進入方舟之後，聖經說了一句非常溫柔的話：「耶和華就把他關在方舟裡頭。」不是挪亞自己關上門，是神親自關上的。那道門，是保護，是同在，是愛。無論外面的風浪多猛烈，天父早已把你關在祂的保護之中。你今天是否願意信靠那雙為你關門的手？,耶和華就把他關在方舟裡頭。《創世記7:16》
01創世記第08章,信仰,天父記念你，是祂使你的處境開始改變的時刻,你是否曾在漫長的等候中，以為神已經忘記了你？方舟上的挪亞等候了很長的時間，不確定大水何時退去。然而這一切的轉折，始於一句話：「神記念挪亞。」在他開口求告之前，神已經記念了。「神叫風吹地，水勢漸落」——那是神記念帶出的行動。天父記念你，就是使你的處境開始改變的時刻。你所在的等候中，神從未停止記念。,神記念挪亞和挪亞方舟裡的一切走獸牲畜。神叫風吹地，水勢漸落。《創世記8:1》
01創世記第09章,信仰,天父以彩虹立約，讓你在風雨後看見祂的信實,你是否需要一個記號，提醒自己神的應許是真實的？洪水過後，神把彩虹放在雲彩中，說：「這就可作我與地立約的記號。」那個約完全是神的恩典，不是因為人配得，而是神主動的承諾。每次看見彩虹，都是天父在說：「我記得我的應許。」信徒在人生風雨之後，也有這樣的記號——神的信實，是一直掛在天上、不褪色的盼望。,我把虹放在雲彩中，這就可作我與地立約的記號。《創世記9:13》
01創世記第10章,未來,天父的眼目看顧萬族萬民，你的背景在祂的計畫中,你是否曾感到自己的文化或群體被神忽視？這章詳細記錄各族各國的源頭，每個民族都在神的視野之中，沒有誰是被遺漏的。神的視野從來不狹窄，祂看見每個民族、每種文化的人，並有祂對全人類的心意。即使不是救恩主線上的族群，神也記錄了他們、記念了他們。天父的眼目遍及萬族，包括你所屬的那一群。,這些都是挪亞三個兒子的宗族，各隨他們的支派立國。洪水以後，他們在地上分為邦國。《創世記10:32》
